1,2,3,4,5,6,+
7,9,12,16,27,33,4
1,4,8,14,27,33,4
8,15,20,24,25,33,4
3,11,17,18,25,33,4
7,9,10,22,24,33,4
3,7,15,19,24,33,4
1,6,12,16,22,33,4
5,6,7,16,17,33,4
2,19,27,29,31,32,4
8,9,24,29,30,32,4
3,15,21,28,30,32,4
2,14,18,23,30,32,4
1,4,11,19,30,32,4
1,2,17,19,29,32,4
6,9,14,20,28,32,4
3,9,11,18,28,32,4
4,6,10,17,28,32,4
5,15,20,25,27,32,4
10,16,19,24,27,32,4
5,7,15,23,27,32,4
6,9,12,19,27,32,4
5,6,9,17,27,32,4
4,7,20,21,26,32,4
3,4,5,14,26,32,4
5,13,19,21,25,32,4
6,9,13,16,24,32,4
1,11,12,15,23,32,4
1,2,9,13,19,32,4
5,8,25,29,30,31,4
6,11,13,22,30,31,4
13,17,21,27,29,31,4
4,8,25,26,29,31,4
6,11,15,25,29,31,4
4,11,18,22,29,31,4
1,5,8,10,29,31,4
1,3,12,23,28,31,4
1,9,20,25,27,31,4
6,18,19,23,27,31,4
5,12,16,22,27,31,4
1,2,5,15,27,31,4
1,11,21,25,26,31,4
3,15,18,23,26,31,4
1,7,18,23,26,31,4
2,18,19,20,26,31,4
6,10,13,16,26,31,4
6,8,12,24,25,31,4
4,8,9,23,25,31,4
4,5,14,18,24,31,4
1,15,20,22,23,31,4
7,11,16,17,23,31,4
1,10,17,21,22,31,4
1,8,17,19,21,31,4
6,10,23,28,29,30,4
3,4,5,27,29,30,4
11,16,19,24,29,30,4
6,8,9,17,29,30,4
1,11,20,27,28,30,4
2,21,22,23,28,30,4
2,12,13,18,28,30,4
2,10,16,26,27,30,4
15,16,17,25,27,30,4
7,15,17,19,27,30,4
7,12,22,24,26,30,4
11,19,21,22,26,30,4
10,12,14,19,26,30,4
1,7,12,14,25,30,4
8,11,18,21,24,30,4
6,7,10,12,22,30,4
2,4,10,15,21,30,4
2,3,11,12,20,30,4
3,6,7,10,16,30,4
1,7,8,9,11,30,4
4,6,14,22,28,29,4
3,12,13,18,28,29,4
6,12,13,24,27,29,4
7,10,14,17,27,29,4
20,22,23,25,26,29,4
2,7,11,23,25,29,4
3,9,14,19,25,29,4
10,11,19,21,23,29,4
3,4,5,18,23,29,4
2,3,5,8,23,29,4
4,9,10,12,13,29,4
9,11,19,20,27,28,4
8,16,21,23,26,28,4
1,5,14,19,26,28,4
1,5,8,24,25,28,4
8,14,20,23,24,28,4
6,18,19,23,24,28,4
6,9,15,23,24,28,4
3,4,13,22,24,28,4
1,9,15,20,23,28,4
3,7,11,14,23,28,4
7,15,17,18,22,28,4
13,16,17,19,21,28,4
10,12,13,19,21,28,4
2,8,15,18,20,28,4
1,8,9,11,20,28,4
3,5,7,13,17,28,4
8,9,17,19,26,27,4
1,11,14,16,26,27,4
3,5,10,13,26,27,4
9,15,16,18,25,27,4
1,6,11,14,17,27,4
1,6,10,19,25,26,4
1,2,9,17,25,26,4
1,7,8,19,24,26,4
3,12,15,20,23,26,4
2,3,4,17,20,26,4
1,8,14,17,18,26,4
2,5,10,12,18,26,4
16,18,20,22,24,25,4
12,14,19,20,23,25,4
4,15,17,20,21,25,4
5,10,12,19,20,25,4
1,8,11,13,15,25,4
1,6,15,20,22,24,4
4,8,12,14,22,24,4
2,9,13,20,21,24,4
3,8,9,14,20,24,4
7,9,13,18,21,22,4
1,6,10,16,21,22,4
4,7,9,14,20,22,4
2,5,10,11,17,22,4
8,9,11,12,13,22,4
2,8,12,14,17,21,4
3,5,9,13,14,21,4
1,8,9,18,19,20,4
1,7,12,17,19,20,4
5,11,12,13,15,20,4
2,7,9,10,12,20,4
2,9,11,15,16,19,4
6,8,10,14,16,17,4
6,8,9,14,16,17,4
1,2,4,9,12,16,4
2,3,5,8,10,14,4
1,3,4,6,12,13,4
16,24,29,32,36,37,3
16,22,26,29,36,37,3
15,21,23,27,36,37,3
2,5,14,21,36,37,3
6,10,15,19,36,37,3
1,6,12,14,36,37,3
2,11,22,32,35,37,3
4,13,17,28,35,37,3
7,20,21,25,35,37,3
4,15,16,17,35,37,3
2,6,9,13,35,37,3
20,27,30,32,34,37,3
2,5,21,29,34,37,3
1,15,17,21,34,37,3
1,3,6,9,34,37,3
12,15,20,30,33,37,3
7,12,15,27,33,37,3
1,6,19,23,33,37,3
3,10,20,22,33,37,3
9,18,20,31,32,37,3
1,3,29,30,32,37,3
2,14,16,18,32,37,3
8,14,25,27,31,37,3
1,16,22,25,31,37,3
2,8,11,20,31,37,3
1,4,12,18,31,37,3
4,10,24,25,30,37,3
15,20,27,28,29,37,3
6,8,9,25,29,37,3
4,8,12,14,29,37,3
4,8,14,21,27,37,3
4,17,18,24,26,37,3
1,9,10,21,26,37,3
1,3,10,14,23,37,3
3,10,14,17,22,37,3
12,17,18,19,21,37,3
11,17,25,33,35,36,3
20,22,28,31,35,36,3
6,13,15,29,35,36,3
5,13,30,33,34,36,3
11,22,27,32,34,36,3
6,17,20,25,33,36,3
4,14,16,21,33,36,3
11,17,24,29,32,36,3
7,12,18,22,32,36,3
4,7,22,29,31,36,3
11,15,21,29,31,36,3
10,12,26,27,31,36,3
7,16,19,21,31,36,3
3,4,5,27,30,36,3
5,11,25,26,29,36,3
2,8,16,23,29,36,3
7,10,22,23,27,36,3
1,15,21,23,26,36,3
6,10,14,15,26,36,3
5,10,13,17,25,36,3
1,3,18,21,23,36,3
1,2,9,21,22,36,3
4,8,16,20,21,36,3
4,6,17,19,21,36,3
7,20,26,33,34,35,3
14,15,19,31,34,35,3
9,10,18,30,34,35,3
8,12,15,23,34,35,3
5,8,16,21,34,35,3
19,26,30,31,33,35,3
6,7,11,30,33,35,3
3,13,24,27,33,35,3
7,14,16,31,32,35,3
4,23,25,30,32,35,3
14,20,25,29,32,35,3
4,17,19,22,32,35,3
11,16,28,29,31,35,3
2,6,17,29,31,35,3
3,4,23,26,31,35,3
2,6,12,26,30,35,3
15,17,20,23,30,35,3
2,6,17,21,30,35,3
3,7,9,18,30,35,3
16,17,18,20,28,35,3
5,11,12,18,28,35,3
11,16,19,24,27,35,3
10,11,14,24,27,35,3
14,20,23,25,26,35,3
3,5,6,19,23,35,3
8,12,15,16,22,35,3
6,13,15,17,19,35,3
2,5,10,11,17,35,3
6,10,29,32,33,34,3
3,22,25,28,33,34,3
1,3,11,25,33,34,3
9,13,16,24,33,34,3
20,28,29,30,32,34,3
9,10,16,20,32,34,3
3,25,26,30,31,34,3
8,20,24,25,31,34,3
7,19,20,25,31,34,3
3,14,18,24,31,34,3
